word,hangeul,sound,numbering
平均,평균,pyeonggyun,128
美術,미술,misul,129
敎育,교육,gyoyuk,130
事業,사업,saeop,131
事實,사실,sasil,132
文字,문자,munja,133
事件,사건,sageon,134
請求,청구,cheonggu,135
對象,대상,daesang,136
安定,안정,anjeong,137
安全,안전,anjeon,138
管理,관리,gwalli,139
以來,이래,irae,140
選擇,선택,seontaek,141
誕生,탄생,tansaeng,142
地區,지구,jigu,143
指揮,지휘,jihwi,144
女子,여자,yeoja,145
地方,지방,jibang,146
展開,전개,jeongae,147
有效,유효,yuhyo,148
成分,성분,seongbun,149
構造,구조,gujo,150
成功,성공,seonggong,151
精神,정신,jeongsin,152
實施,실시,silsi,153
演出,연출,yeonchul,154
觀測,관측,gwancheuk,155
生産,생산,saengsan,156
理解,이해,ihae,157
出版,출판,chulpan,158
調整,조정,jojeong,159
交換,교환,gyohwan,160
前後,전후,jeonhu,161
少年,소년,sonyeon,162
費用,비용,biyong,163
日常,일상,ilsang,164
作業,작업,jageop,165
集中,집중,jipjung,166
小說,소설,soseol,167
全部,전부,jeonbu,168
現實,현실,hyeonsil,169
個性,개성,gaeseong,170
比較,비교,bigyo,171
表情,표정,pyojeong,172
經營,경영,gyeongyeong,173
市場,시장,sijang,174
職業,직업,jigeop,175
不安,불안,buran,176
外國,외국,oeguk,177
各種,각종,gakjong,178
將來,장래,jangnae,179
戰爭,전쟁,jeonjaeng,180
成長,성장,seongjang,181
公園,공원,gongwon,182
治療,치료,chiryo,183
自信,자신,jasin,184
滿足,만족,manjok,185
傾向,경향,gyeonghyang,186
作家,작가,jakga,187
電子,전자,jeonja,188
過去,과거,gwageo,189
空間,공간,gonggan,190
生命,생명,saengmyeong,191
道路,도로,doro,192
意見,의견,uigyeon,193
記憶,기억,gieok,194
操作,조작,jojak,195
書店,서점,seojeom,196
計算,계산,gyesan,197
地球,지구,jigu,198
責任,책임,chaegim,199
目標,목표,mokpyo,200
左右,좌우,jwau,201
政府,정부,jeongbu,202
配合,배합,baehap,203
行動,행동,haengdong,204
國民,국민,gungmin,205
文學,문학,munhak,206
感動,감동,gamdong,207
新鮮,신선,sinseon,208
地下,지하,jiha,209
形式,형식,hyeongsik,210
公開,공개,gonggae,211
事故,사고,sago,212
積極,적극,jeokgeuk,213
製作,제작,jejak,214
天然,천연,cheonyeon,215
移動,이동,idong,216
動物,동물,dongmul,217
不足,부족,bujok,218
科學,과학,gwahak,219
太陽,태양,taeyang,220
燃料,연료,yeollyo,221
工夫,공부,gongbu,222
數字,숫자,sutja,223
工業,공업,gongeop,224
參考,참고,chamgo,225
性格,성격,seonggyeok,226
實行,실행,silhaeng,227
速度,속도,sokdo,228
努力,노력,noryeok,229
理想,이상,isang,230
機會,기회,gihoe,231
出發,출발,chulbal,232
植物,식물,singmul,233
豆腐,두부,dubu,234
記錄,기록,girok,235
詳細,상세,sangse,236
政權,정권,jeonggwon,237
風景,풍경,punggyeong,238
報告,보고,bogo,239
建築,건축,geonchuk,240
判斷,판단,pandan,241
反對,반대,bandae,242
業務,업무,eommu,243
自己,자기,jagi,244
少女,소녀,sonyeo,245
知識,지식,jisik,246
土地,토지,toji,247
保護,보호,boho,248
醫療,의료,uiryo,249
確實,확실,hwaksil,250
設備,설비,seolbi,251
基礎,기초,gicho,252
宇宙,우주,uju,253
高原,고원,gowon,254
制度,제도,jedo,255
本來,본래,bollae,256
姿勢,자세,jase,257
固定,고정,gojeong,258
團體,단체,danche,259
加工,가공,gagong,260
金屬,금속,geumsok,261
敎授,교수,gyosu,262
空氣,공기,gonggi,263
手術,수술,susul,264
突然,돌연,doryeon,265
思想,사상,sasang,266
神經,신경,singyeong,267
男子,남자,namja,268
發生,발생,balsaeng,269
面積,면적,myeonjeok,270
機關,기관,gigwan,271
作用,작용,jagyong,272
失敗,실패,silpae,273
成績,성적,seongjeok,274
主要,주요,juyo,275
發揮,발휘,balhwi,276
獨立,독립,dongnip,277
表面,표면,pyomyeon,278
關心,관심,gwansim,279
內部,내부,naebu,280
反應,반응,baneung,281
品質,품질,pumjil,282
製造,제조,jejo,283
相當,상당,sangdang,284
家具,가구,gagu,285
主張,주장,jujang,286
近代,근대,geundae,287
體育,체육,cheyuk,288
疑問,의문,uimun,289
敎室,교실,gyosil,290
身體,신체,sinche,291
特殊,특수,teuksu,292
吸收,흡수,heupsu,293
建設,건설,geonseol,294
正確,정확,jeonghwak,295
證明,증명,jeungmyeong,296
背景,배경,baegyeong,297
維持,유지,yuji,298
擴大,확대,hwakdae,299
歡迎,환영,hwanyeong,300
記者,기자,gija,301
共同,공동,gongdong,302
實驗,실험,silheom,303
重視,중시,jungsi,304
分析,분석,bunseok,305
帽子,모자,moja,306
醫學,의학,uihak,307
加入,가입,gaip,308
解決,해결,haegyeol,309
追求,추구,chugu,310
透明,투명,tumyeong,311
國家,국가,gukga,312
多少,다소,daso,313
批判,비판,bipan,314
皮膚,피부,pibu,315
優秀,우수,usu,316
椅子,의자,uija,317
作戰,작전,jakjeon,318
單位,단위,danwi,319
要求,요구,yogu,320
改革,개혁,gaehyeok,321
改善,개선,gaeseon,322
初期,초기,chogi,323
水分,수분,subun,324
天體,천체,cheonche,325
秘密,비밀,bimil,326
開放,개방,gaebang,327
學習,학습,hakseup,328
感情,감정,gamjeong,329
事情,사정,sajeong,330
出身,출신,chulsin,331
勞動,노동,nodong,332
危險,위험,wiheom,333
血液,혈액,hyeoraek,334
一定,일정,iljeong,335
細胞,세포,sepo,336
原則,원칙,wonchik,337
習慣,습관,seupgwan,338
地圖,지도,jido,339
一生,일생,ilsaeng,340
感謝,감사,gamsa,341
訓鍊,훈련,hullyeon,342
態度,태도,taedo,343
動作,동작,dongjak,344
警察,경찰,gyeongchal,345
觀察,관찰,gwanchal,346
收入,수입,suip,347
戰略,전략,jeollyak,348
婦人,부인,buin,349
保存,보존,bojon,350
愛情,애정,aejeong,351
學院,학원,hagwon,352
規定,규정,gyujeong,353
現象,현상,hyeonsang,354
勝利,승리,seungni,355
心理,심리,simni,356
成果,성과,seonggwa,357
選擧,선거,seongeo,358
牧場,목장,mokjang,359
物質,물질,muljil,360
會議,회의,hoeui,361
支配,지배,jibae,362
進行,진행,jinhaeng,363
電車,전차,jeoncha,364
認識,인식,insik,365
發展,발전,baljeon,366
防止,방지,bangji,367
意志,의지,uiji,368
永遠,영원,yeongwon,369
項目,항목,hangmok,370
支持,지지,jiji,371
取得,취득,chwideuk,372
政策,정책,jeongchaek,373
成立,성립,seongnip,374
大量,대량,daeryang,375
單純,단순,dansun,376
否定,부정,bujeong,377
異常,이상,isang,378
溫度,온도,ondo,379
高度,고도,godo,380
詩人,시인,siin,381
發言,발언,bareon,382
反射,반사,bansa,383
民族,민족,minjok,384
危機,위기,wigi,385
兄弟,형제,hyeongje,386
修理,수리,suri,387
所有,소유,soyu,388
進化,진화,jinhwa,389
保障,보장,bojang,390
訪問,방문,bangmun,391
豫防,예방,yebang,392
未來,미래,mirae,393
軌道,궤도,gwedo,394
出現,출현,chulhyeon,395
制作,제작,jejak,396
變動,변동,byeondong,397
民主,민주,minju,398
集團,집단,jipdan,399
文章,문장,munjang,400
方針,방침,bangchim,401
行政,행정,haengjeong,402
普及,보급,bogeup,403
以後,이후,ihu,404
課題,과제,gwaje,405
興奮,흥분,heungbun,406
信號,신호,sinho,407
增加,증가,jeungga,408
報道,보도,bodo,409
化學,화학,hwahak,410
外交,외교,oegyo,411
巨大,거대,geodae,412
困難,곤란,gollan,413
消化,소화,sohwa,414
進步,진보,jinbo,415
整理,정리,jeongni,416
創造,창조,changjo,417
體力,체력,cheryeok,418
地位,지위,jiwi,419
調節,조절,jojeol,420
統一,통일,tongil,421
描寫,묘사,myosa,422
應用,응용,eungyong,423
革命,혁명,hyeongmyeong,424
競爭,경쟁,gyeongjaeng,425
强調,강조,gangjo,426
交流,교류,gyoryu,427
混合,혼합,honhap,428
實踐,실천,silcheon,429
集合,집합,jiphap,430
圖書,도서,doseo,431
改良,개량,gaeryang,432
供給,공급,gonggeup,433
減少,감소,gamso,434
支援,지원,jiwon,435
指示,지시,jisi,436
手段,수단,sudan,437
促進,촉진,chokjin,438
大氣,대기,daegi,439
適當,적당,jeokdang,440
疲勞,피로,piro,441
法律,법률,beomnyul,442
解放,해방,haebang,443
强烈,강렬,gangnyeol,444
幻想,환상,hwansang,445
呼吸,호흡,hoheup,446
時刻,시각,sigak,447
柔軟,유연,yuyeon,448
證據,증거,jeunggeo,449
農業,농업,nongeop,450
發達,발달,baldal,451
半島,반도,bando,452
老人,노인,noin,453
記載,기재,gijae,454
禁止,금지,geumji,455
形成,형성,hyeongseong,456
人口,인구,ingu,457
人工,인공,ingong,458
生物,생물,saengmul,459
地點,지점,jijeom,460
中間,중간,junggan,461
破壞,파괴,pagoe,462
博士,박사,baksa,463
感激,감격,gamgyeok,464
考慮,고려,goryeo,465
混亂,혼란,hollan,466
水平,수평,supyeong,467
創立,창립,changnip,468
帝國,제국,jeguk,469
投入,투입,tuip,470
日記,일기,ilgi,471
有利,유리,yuri,472
一旦,일단,ildan,473
一致,일치,ilchi,474
學者,학자,hakja,475
敎師,교사,gyosa,476
經過,경과,gyeonggwa,477
原理,원리,wolli,478
公共,공공,gonggong,479
幸福,행복,haengbok,480
思考,사고,sago,481
將軍,장군,janggun,482
宣傳,선전,seonjeon,483
愛好,애호,aeho,484
角度,각도,gakdo,485
結論,결론,gyeollon,486
商人,상인,sangin,487
商店,상점,sangjeom,488
消耗,소모,somo,489
招待,초대,chodae,490
深刻,심각,simgak,491
振動,진동,jindong,492
電力,전력,jeollyeok,493
熱心,열심,yeolsim,494
年代,연대,yeondae,495
官僚,관료,gwallyo,496
光景,광경,gwanggyeong,497
合成,합성,hapseong,498
色彩,색채,saekchae,499
死亡,사망,samang,500
若干,약간,yakgan,501
親切,친절,chinjeol,502
人類,인류,illyu,503
石油,석유,seogyu,504
鮮明,선명,seonmyeong,505
體系,체계,chegye,506
停止,정지,jeongji,507
平行,평행,pyeonghaeng,508
貿易,무역,muyeok,509
明確,명확,myeonghwak,510
違反,위반,wiban,511
區別,구별,gubyeol,512
繼續,계속,gyesok,513
原料,원료,wollyo,514
古代,고대,godae,515
顧客,고객,gogaek,516
根本,근본,geunbon,517
自治,자치,jachi,518
首都,수도,sudo,519
推進,추진,chujin,520
勢力,세력,seryeok,521
創作,창작,changjak,522
適應,적응,jeogeung,523
同一,동일,dongil,524
爆發,폭발,pokbal,525
分解,분해,bunhae,526
修正,수정,sujeong,527
接觸,접촉,jeopchok,528
宣言,선언,seoneon,529
大戰,대전,daejeon,530
有力,유력,yuryeok,531
開幕,개막,gaemak,532
覺悟,각오,gago,533
過程,과정,gwajeong,534
居住,거주,geoju,535
偶然,우연,uyeon,536
地震,지진,jijin,537
資本,자본,jabon,538
政黨,정당,jeongdang,539
對立,대립,daerip,540
大衆,대중,daejung,541
大地,대지,daeji,542
通過,통과,tonggwa,543
動力,동력,dongnyeok,544
農藥,농약,nongyak,545
犯罪,범죄,beomjoe,546
武器,무기,mugi,547
部長,부장,bujang,548
壓力,압력,amnyeok,549
氣壓,기압,giap,550
結合,결합,gyeolhap,551
公式,공식,gongsik,552
財産,재산,jaesan,553
重大,중대,jungdae,554
接近,접근,jeopgeun,555
大陸,대륙,daeryuk,556
適合,적합,jeokhap,557
反映,반영,banyeong,558
分布,분포,bunpo,559
衛星,위성,wiseong,560
確定,확정,hwakjeong,561
可憐,가련,garyeon,562
氣象,기상,gisang,563
義務,의무,uimu,564
形態,형태,hyeongtae,565
差別,차별,chabyeol,566
性質,성질,seongjil,567
地形,지형,jihyeong,568
動機,동기,donggi,569
東南,동남,dongnam,570
平等,평등,pyeongdeung,571
勇氣,용기,yonggi,572
英雄,영웅,yeongung,573
改正,개정,gaejeong,574
學問,학문,hangmun,575
基地,기지,giji,576
軍事,군사,gunsa,577
權利,권리,gwolli,578
緊急,긴급,gingeup,579
個別,개별,gaebyeol,580
行爲,행위,haengwi,581
後悔,후회,huhoe,582
皇帝,황제,hwangje,583
根據,근거,geungeo,584
食堂,식당,sikdang,585
垂直,수직,sujik,586
睡眠,수면,sumyeon,587
占領,점령,jeomnyeong,588
尊敬,존경,jongyeong,589
損害,손해,sonhae,590
熱帶,열대,yeoldae,591
無限,무한,muhan,592
愉快,유쾌,yukwae,593
偉大,위대,widae,594
一帶,일대,ildae,595
解釋,해석,haeseok,596
幹部,간부,ganbu,597
氣溫,기온,gion,598
空中,공중,gongjung,599
抗議,항의,hangui,600
工作,공작,gongjak,601
昆蟲,곤충,gonchung,602
縮小,축소,chukso,603
出生,출생,chulsaeng,604
傷害,상해,sanghae,605
消滅,소멸,somyeol,606
西部,서부,seobu,607
節約,절약,jeoryak,608
地面,지면,jimyeon,609
統計,통계,tonggye,610
到達,도달,dodal,611
讀書,독서,dokseo,612
農村,농촌,nongchon,613
不幸,불행,bulhaeng,614
武裝,무장,mujang,615
民衆,민중,minjung,616
意義,의의,uiui,617
各自,각자,gakja,618
講義,강의,gangui,619
數學,수학,suhak,620
生存,생존,saengjon,621
地帶,지대,jidae,622
秩序,질서,jilseo,623
部隊,부대,budae,624
分裂,분열,bunyeol,625
容器,용기,yonggi,626
觀念,관념,gwannyeom,627
氣候,기후,gihu,628
刑事,형사,hyeongsa,629
繼承,계승,gyeseung,630
財政,재정,jaejeong,631
少數,소수,sosu,632
條約,조약,joyak,633
人體,인체,inche,634
進入,진입,jinip,635
正式,정식,jeongsik,636
電壓,전압,jeonap,637
必須,필수,pilsu,638
分量,분량,bullyang,639
兵士,병사,byeongsa,640
平凡,평범,pyeongbeom,641
萬一,만일,manil,642
命令,명령,myeongnyeong,643
猛烈,맹렬,maengnyeol,644
豫報,예보,yebo,645
觀點,관점,gwanjeom,646
軍人,군인,gunin,647
憲法,헌법,heonbeop,648
山地,산지,sanji,649
所在,소재,sojae,650
相互,상호,sangho,651
總理,총리,chongni,652
尊重,존중,jonjung,653
電流,전류,jeollyu,654
同意,동의,dongui,655
比例,비례,birye,656
分配,분배,bunbae,657
木材,목재,mokjae,658
